episode,score,max_reward,max_tile
484,952,17.64362919330597,128
485,684,16.9174813747406,64
486,1300,18.09438350200653,128
487,1040,18.312757062911988,128
488,1220,17.875335931777954,128
489,776,17.438430857658386,64
490,716,18.83674383163452,64
491,1824,19.870667695999146,256
492,584,19.035906553268433,64
493,1200,18.592611718177796,128
494,2584,23.457790422439576,256
495,600,17.486598539352418,64
496,1208,18.194848489761352,128
497,1228,18.372358441352844,128
498,1240,19.918744373321534,128
499,984,17.89769380092621,128
500,1112,17.813173174858093,128
501,896,19.614137530326843,128
502,1012,20.963221645355226,128
503,1068,17.848531627655028,128
504,940,20.04735414981842,128
505,1300,17.375976848602296,128
506,1328,19.979246807098388,128
507,1196,17.122836661338805,128
508,1268,17.812826371192934,128
509,1184,17.34140808582306,128
510,912,19.161097478866576,128
511,2124,19.362380695343017,256
512,652,17.41565337181091,64
513,916,18.02817122936249,128
514,1164,19.601273488998412,128
515,2520,20.154443311691285,256
516,496,16.90134220123291,64
517,788,17.466163897514342,64
518,580,17.766948437690736,64
519,664,17.838172578811644,64
520,1252,18.591731667518616,128
521,684,15.495956707000733,64
522,2404,20.179518008232115,256
523,292,16.232305693626405,32
524,896,18.34474334716797,128
525,1512,18.766569423675538,128
526,836,16.172380471229552,64
527,1044,20.342375469207763,128
528,1324,18.27075743675232,128
529,720,16.35694534778595,64
530,1184,18.311579513549805,128
531,684,17.915867018699647,64
532,1232,18.834828567504882,128
533,232,15.546706795692444,32
534,1384,18.4548912525177,128
535,956,18.072408771514894,128
536,1012,18.07786328792572,128
537,944,18.752834296226503,128
538,1076,18.499795651435853,128
539,732,15.30041275024414,64
540,336,16.793879866600037,32
541,1304,18.792762923240662,128
542,816,18.06259880065918,64
543,540,15.609887933731079,64
544,216,15.375003933906555,32
545,568,17.494237995147706,64
546,1444,18.695109486579895,128
547,376,15.975486731529235,64
548,1856,20.51477930545807,256
549,400,17.166617798805238,64
550,1004,17.647603893280028,128
551,116,14.001266765594483,16
