idx,episode,loss,mean_abs_error
1,69,1.665128231048584,0.5491296648979187
2,142,1.71240234375,0.5486493110656738
3,208,1.6774685382843018,0.5402575135231018
4,279,1.6657816171646118,0.5422641038894653
5,349,1.6561657190322876,0.5448184609413147
6,419,1.6815640926361084,0.5433927178382874
7,489,1.7057405710220337,0.5713785886764526
8,555,1.6711783409118652,0.5465860366821289
9,622,1.6046308279037476,0.5274568200111389
10,689,1.7396200895309448,0.5705605149269104
11,757,1.6509002447128296,0.5654526948928833
12,830,1.7076892852783203,0.5882635116577148
13,901,1.6286729574203491,0.5760786533355713
14,966,1.5827969312667847,0.5814100503921509
15,1035,1.6091399192810059,0.5946282744407654
16,1101,1.5623573064804077,0.580665647983551
17,1164,1.5442869663238525,0.5736119151115417
18,1230,1.5295859575271606,0.5695002675056458
19,1293,1.5082201957702637,0.5687852501869202
20,1360,1.520418643951416,0.5884630084037781
21,1420,1.5420492887496948,0.5875759720802307
22,1483,1.6823137998580933,0.6259586811065674
23,1539,1.504966139793396,0.577250063419342
24,1603,1.548133134841919,0.5898115634918213
25,1667,1.5654875040054321,0.5964184999465942
26,1728,1.4739398956298828,0.5542150735855103
27,1788,1.4565123319625854,0.5712103843688965
28,1850,1.4992358684539795,0.5551857352256775
29,1911,1.4693763256072998,0.567541778087616
30,1973,1.4905078411102295,0.5604893565177917
31,2035,1.3923267126083374,0.5563363432884216
32,2096,1.4549000263214111,0.5539689660072327
33,2156,1.4203553199768066,0.5493316650390625
34,2215,1.5092099905014038,0.5809515714645386
35,2273,1.4755330085754395,0.5580318570137024
36,2329,1.481451153755188,0.5491666197776794
37,2387,1.5391374826431274,0.5652896165847778
38,2447,1.4203020334243774,0.5517866015434265
39,2508,1.5769970417022705,0.561323881149292
40,2563,1.5270185470581055,0.546568751335144
41,2622,1.4462635517120361,0.5283785462379456
42,2681,1.5140442848205566,0.5436995625495911
43,2738,1.5204020738601685,0.5500765442848206
44,2798,1.4713048934936523,0.5250390768051147
45,2852,1.4976195096969604,0.5500083565711975
46,2909,1.4892890453338623,0.530645489692688
47,2962,1.4435250759124756,0.5267589688301086
48,3017,1.5167417526245117,0.530409038066864
49,3075,1.446155309677124,0.539238691329956
50,3136,1.4355770349502563,0.5321353077888489
51,3191,1.4508440494537354,0.5256838798522949
52,3248,1.4426697492599487,0.5102335810661316
53,3302,1.4208009243011475,0.5266038179397583
54,3355,1.4480746984481812,0.5288055539131165
55,3406,1.4157791137695312,0.5215137600898743
56,3466,1.4000401496887207,0.5276633501052856
57,3522,1.387997031211853,0.5155284404754639
58,3578,1.4637534618377686,0.5183418989181519
59,3634,1.501812219619751,0.5354005694389343
60,3687,1.5553346872329712,0.5436442494392395
61,3747,1.5990654230117798,0.5507911443710327
62,3802,1.4776461124420166,0.5252942442893982
63,3853,1.5796160697937012,0.5384674668312073
64,3908,1.5083194971084595,0.5236899256706238
65,3963,1.4919147491455078,0.5079763531684875
66,4015,1.5175310373306274,0.5283039808273315
67,4066,1.4358654022216797,0.5304402709007263
68,4116,1.5103082656860352,0.5185077786445618
69,4166,1.5197304487228394,0.5277717113494873
70,4219,1.5291662216186523,0.5175840854644775
71,4273,1.4849028587341309,0.5270140171051025
72,4324,1.4370628595352173,0.509254515171051
73,4377,1.4596396684646606,0.5196978449821472
74,4429,1.4145677089691162,0.5061768889427185
75,4478,1.4121577739715576,0.5215116739273071
76,4528,1.4884189367294312,0.5049590468406677
77,4580,1.4488756656646729,0.5230865478515625
78,4634,1.3730762004852295,0.48844295740127563
79,4686,1.4501512050628662,0.5067636370658875
80,4739,1.4097999334335327,0.5306505560874939
81,4792,1.4909920692443848,0.502860426902771
82,4846,1.3666067123413086,0.5197234153747559
83,4898,1.4290333986282349,0.4991597831249237
84,4945,1.4707071781158447,0.49030691385269165
85,4999,1.301967978477478,0.48262906074523926
1,5081,1.4953696727752686,0.5883013606071472
2,5149,1.3633477687835693,0.5502079129219055
3,5220,1.4194345474243164,0.5647974014282227
4,5289,1.526808738708496,0.585197925567627
5,5359,1.4436092376708984,0.5689786672592163
6,5432,1.3908474445343018,0.5867283940315247
7,5502,1.4176373481750488,0.5556677579879761
8,5565,1.511141061782837,0.5640239715576172
9,5632,1.4704340696334839,0.5570414662361145
10,5695,1.437830924987793,0.5468494296073914
11,5761,1.3629988431930542,0.534613311290741
12,5824,1.3753429651260376,0.5403308868408203
13,5889,1.532620906829834,0.5643660426139832
14,5951,1.3401405811309814,0.5200545787811279
15,6017,1.3542097806930542,0.5214539170265198
16,6081,1.343579649925232,0.5450294017791748
17,6140,1.3694230318069458,0.5173045992851257
18,6205,1.4840002059936523,0.5529223084449768
19,6263,1.4873725175857544,0.5307888388633728
20,6323,1.3598201274871826,0.5232668519020081
21,6383,1.2813029289245605,0.4955674707889557
22,6435,1.3133198022842407,0.5173423886299133
23,6492,1.4444278478622437,0.5265005230903625
24,6552,1.3291559219360352,0.5229379534721375
25,6617,1.6319628953933716,0.5516594052314758
26,6676,1.4797310829162598,0.5333426594734192
27,6735,1.3801568746566772,0.5168251991271973
28,6788,1.3232697248458862,0.49355635046958923
29,6848,1.312970757484436,0.501667857170105
30,6907,1.3213956356048584,0.5052955746650696
31,6968,1.5318375825881958,0.5648563504219055
32,7028,1.3334907293319702,0.5409918427467346
33,7082,1.4823787212371826,0.5268107056617737
34,7143,1.2733615636825562,0.5017569065093994
35,7195,1.3004941940307617,0.484346479177475
36,7251,1.4311970472335815,0.5309175252914429
37,7312,1.4555299282073975,0.5339307188987732
38,7367,1.3744077682495117,0.5474005937576294
39,7423,1.3858654499053955,0.5176556706428528
40,7478,1.5286258459091187,0.566654622554779
41,7531,1.4598735570907593,0.5198384523391724
42,7581,1.39161217212677,0.5185698866844177
43,7636,1.6020914316177368,0.548733651638031
44,7687,1.5482895374298096,0.515804648399353
45,7739,1.3448504209518433,0.4960751235485077
46,7789,1.585929036140442,0.5415202975273132
47,7840,1.2612662315368652,0.4739949107170105
48,7891,1.3018053770065308,0.4903942048549652
49,7947,1.4000842571258545,0.5489450097084045
50,8001,1.4410748481750488,0.5331404805183411
51,8049,1.4348845481872559,0.5286738872528076
52,8099,1.1367719173431396,0.479338139295578
53,8151,1.4091850519180298,0.5231673717498779
54,8205,1.4222742319107056,0.5199838280677795
55,8254,1.2732067108154297,0.49953943490982056
56,8305,1.1818866729736328,0.46277356147766113
57,8358,1.215461015701294,0.47980597615242004
58,8408,1.1816120147705078,0.47068193554878235
59,8459,1.2637550830841064,0.4880303144454956
60,8506,1.3316259384155273,0.5012001395225525
61,8559,1.305506944656372,0.5263358354568481
62,8612,1.3985532522201538,0.526155412197113
63,8658,1.5969243049621582,0.5243876576423645
64,8709,1.3841133117675781,0.5142927765846252
65,8759,1.2964855432510376,0.49191048741340637
66,8810,1.2067269086837769,0.4756823182106018
67,8860,1.3297795057296753,0.4909442961215973
68,8907,1.3191429376602173,0.48799392580986023
69,8956,1.1993712186813354,0.46252039074897766
70,9002,1.2426462173461914,0.46923771500587463
71,9053,1.2885358333587646,0.5008507370948792
72,9104,1.360285758972168,0.4964861273765564
73,9153,1.3674455881118774,0.4911620020866394
74,9199,1.445101261138916,0.499255895614624
75,9250,1.2217069864273071,0.46742838621139526
76,9296,1.2742342948913574,0.46721285581588745
77,9342,1.253062129020691,0.488812655210495
78,9387,1.3251687288284302,0.4734068214893341
79,9435,1.1781117916107178,0.46590250730514526
80,9481,1.2778586149215698,0.46831920742988586
81,9527,1.2190338373184204,0.4498555064201355
82,9573,1.1868191957473755,0.4655161201953888
83,9620,1.2584209442138672,0.4718590974807739
